client_collected,contact_method,pickup_date,age,dependents_qty,household,preferred_languages,sex_new,status,Season,Month,distance_km,num_of_contact_methods,latest_language_is_english
yes,In-Person,2023-11-27 16:00:00,53.0,3.0,yes,"French , English",Female,Active,Fall,November,3.27,1,No
yes,In-Person,2023-12-27 16:09:00,53.0,3.0,yes,"French , English",Female,Active,Winter,December,3.27,1,No
yes,In-Person,2024-02-29 16:38:00,53.0,3.0,yes,"French , English",Female,Active,Winter,Febuary,3.27,1,No
yes,In-Person,2024-02-29 16:38:00,53.0,3.0,yes,"French , English",Female,Active,Winter,Febuary,3.27,1,No
yes,In-Person,2024-03-27 03:00:00,53.0,3.0,yes,"French , English",Female,Active,Spring,March,3.27,1,No
yes,In-Person,2024-04-02 15:07:00,53.0,3.0,yes,"French , English",Female,Active,Spring,April,3.27,1,No
yes,In-Person,2024-05-02 15:55:00,53.0,3.0,yes,"French , English",Female,Active,Spring,May,3.27,1,No
yes,In-Person,2024-06-04 15:09:00,53.0,3.0,yes,"French , English",Female,Active,Summer,June,3.27,1,No
yes,In-Person,2024-07-04 14:30:00,53.0,3.0,yes,"French , English",Female,Active,Summer,July,3.27,1,No
yes,In-Person,2024-08-06 15:45:00,53.0,3.0,yes,"French , English",Female,Active,Summer,August,3.27,1,No
yes,In-Person,2024-09-03 03:00:00,53.0,3.0,yes,"French , English",Female,Active,Fall,September,3.27,1,No
no,In-Person,2024-10-03 03:00:00,53.0,3.0,yes,"French , English",Female,Active,Fall,October,3.27,1,No
yes,In-Person,2024-11-03 03:00:00,53.0,3.0,yes,"French , English",Female,Active,Fall,November,3.27,1,No
yes,In-Person,2023-11-27 16:05:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Fall,November,8.76,1,No
yes,In-Person,2024-05-01 15:58:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Spring,May,8.76,1,No
yes,In-Person,2024-01-27 04:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Winter,January,8.76,1,No
no,In-Person,2024-02-27 04:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Winter,Febuary,8.76,1,No
yes,In-Person,2024-03-07 16:40:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Spring,March,8.76,1,No
yes,In-Person,2024-04-08 03:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Spring,April,8.76,1,No
yes,In-Person,2024-05-01 15:59:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Spring,May,8.76,1,No
no,In-Person,2024-06-02 03:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Summer,June,8.76,1,No
yes,In-Person,2024-07-02 03:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Summer,July,8.76,1,No
no,In-Person,2024-08-02 03:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Summer,August,8.76,1,No
yes,In-Person,2024-09-02 03:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Fall,September,8.76,1,No
yes,In-Person,2024-10-02 03:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Fall,October,8.76,1,No
no,In-Person,2024-11-02 03:00:00,32.0,2.0,yes,"Albanian , Albanian",Female,Active,Fall,November,8.76,1,No
yes,In-Person,2023-11-27 16:08:00,38.0,6.0,yes,Persian,Female,Active,Fall,November,11.54,2,No
yes,In-Person,2023-12-20 15:20:00,38.0,6.0,yes,Persian,Female,Active,Winter,December,11.54,2,No
yes,In-Person,2024-01-31 17:37:00,38.0,6.0,yes,Persian,Female,Active,Winter,January,11.54,2,No
yes,In-Person,2024-03-29 03:00:00,38.0,6.0,yes,Persian,Female,Active,Spring,March,11.54,2,No
yes,In-Person,2024-04-25 15:30:00,38.0,6.0,yes,Persian,Female,Active,Spring,April,11.54,2,No
no,In-Person,2024-05-25 03:00:00,38.0,6.0,yes,Persian,Female,Active,Spring,May,11.54,2,No
yes,In-Person,2024-06-25 03:00:00,38.0,6.0,yes,Persian,Female,Active,Summer,June,11.54,2,No
yes,In-Person,2024-07-02 16:15:00,38.0,6.0,yes,Persian,Female,Active,Summer,July,11.54,2,No
yes,In-Person,2024-08-01 14:09:00,38.0,6.0,yes,Persian,Female,Active,Summer,August,11.54,2,No
no,In-Person,2024-09-25 03:00:00,38.0,6.0,yes,Persian,Female,Active,Fall,September,11.54,2,No
yes,In-Person,2024-10-25 03:00:00,38.0,6.0,yes,Persian,Female,Active,Fall,October,11.54,2,No
yes,In-Person,2023-11-27 16:08:00,38.0,2.0,yes,Somali,Female,Active,Fall,November,10.25,1,No
yes,In-Person,2023-11-27 16:11:00,57.0,2.0,yes,Arabic,Male,Active,Fall,November,8.79,1,No
yes,In-Person,2023-12-27 15:30:00,57.0,2.0,yes,Arabic,Male,Active,Winter,December,8.79,1,No
yes,In-Person,2024-01-27 04:00:00,57.0,2.0,yes,Arabic,Male,Active,Winter,January,8.79,1,No
yes,In-Person,2023-11-27 16:18:00,33.0,4.0,yes,French,Female,Active,Fall,November,10.99,2,No
yes,In-Person,2023-12-27 14:38:00,33.0,4.0,yes,French,Female,Active,Winter,December,10.99,2,No
yes,In-Person,2024-01-30 17:14:00,33.0,4.0,yes,French,Female,Active,Winter,January,10.99,2,No
yes,In-Person,2024-02-29 17:01:00,33.0,4.0,yes,French,Female,Active,Winter,Febuary,10.99,2,No
yes,In-Person,2024-03-28 15:44:00,33.0,4.0,yes,French,Female,Active,Spring,March,10.99,2,No
yes,In-Person,2024-04-29 15:58:00,33.0,4.0,yes,French,Female,Active,Spring,April,10.99,2,No
yes,In-Person,2024-05-29 15:01:00,33.0,4.0,yes,French,Female,Active,Spring,May,10.99,2,No
yes,In-Person,2024-06-27 15:49:00,33.0,4.0,yes,French,Female,Active,Summer,June,10.99,2,No
yes,In-Person,2024-07-29 15:29:00,33.0,4.0,yes,French,Female,Active,Summer,July,10.99,2,No
yes,In-Person,2024-08-27 03:00:00,33.0,4.0,yes,French,Female,Active,Summer,August,10.99,2,No
yes,In-Person,2024-09-27 03:00:00,33.0,4.0,yes,French,Female,Active,Fall,September,10.99,2,No
no,In-Person,2024-10-27 03:00:00,33.0,4.0,yes,French,Female,Active,Fall,October,10.99,2,No
yes,In-Person,2024-11-27 04:00:00,33.0,4.0,yes,French,Female,Active,Fall,November,10.99,2,No
yes,In-Person,2023-11-27 16:19:00,35.0,5.0,yes,Arabic,Male,Active,Fall,November,8.49,1,No
yes,In-Person,2023-11-27 16:37:00,34.0,2.0,yes,Dari,Female,Active,Fall,November,6.42,2,No
yes,In-Person,2023-12-28 15:18:00,34.0,2.0,yes,Dari,Female,Active,Winter,December,6.42,2,No
yes,In-Person,2024-02-29 16:37:00,34.0,2.0,yes,Dari,Female,Active,Winter,Febuary,6.42,2,No
yes,In-Person,2024-04-04 14:44:00,34.0,2.0,yes,Dari,Female,Active,Spring,April,6.42,2,No
yes,In-Person,2024-05-14 16:59:00,34.0,2.0,yes,Dari,Female,Active,Spring,May,6.42,2,No
yes,In-Person,2024-06-18 15:09:00,34.0,2.0,yes,Dari,Female,Active,Summer,June,6.42,2,No
yes,In-Person,2024-07-22 16:55:00,34.0,2.0,yes,Dari,Female,Active,Summer,July,6.42,2,No
yes,In-Person,2024-08-19 15:32:00,34.0,2.0,yes,Dari,Female,Active,Summer,August,6.42,2,No
yes,In-Person,2024-09-05 03:00:00,34.0,2.0,yes,Dari,Female,Active,Fall,September,6.42,2,No
yes,In-Person,2024-10-06 03:00:00,34.0,2.0,yes,Dari,Female,Active,Fall,October,6.42,2,No
yes,In-Person,2024-11-05 04:00:00,34.0,2.0,yes,Dari,Female,Active,Fall,November,6.42,2,No
no,In-Person,2024-12-06 04:00:00,34.0,2.0,yes,Dari,Female,Active,Winter,December,6.42,2,No
yes,In-Person,2023-11-27 16:42:00,33.0,4.0,yes,Arabic,Female,Active,Fall,November,0.94,3,No
yes,In-Person,2024-01-18 17:18:00,33.0,4.0,yes,Arabic,Female,Active,Winter,January,0.94,3,No
no,In-Person,2024-01-27 04:00:00,33.0,4.0,yes,Arabic,Female,Active,Winter,January,0.94,3,No
yes,In-Person,2024-02-22 16:03:00,33.0,4.0,yes,Arabic,Female,Active,Winter,Febuary,0.94,3,No
yes,In-Person,2024-03-25 15:51:00,33.0,4.0,yes,Arabic,Female,Active,Spring,March,0.94,3,No
yes,In-Person,2024-04-23 03:00:00,33.0,4.0,yes,Arabic,Female,Active,Spring,April,0.94,3,No
yes,In-Person,2024-05-06 15:40:00,33.0,4.0,yes,Arabic,Female,Active,Spring,May,0.94,3,No
yes,In-Person,2024-06-13 15:16:00,33.0,4.0,yes,Arabic,Female,Active,Summer,June,0.94,3,No
yes,In-Person,2024-07-23 03:00:00,33.0,4.0,yes,Arabic,Female,Active,Summer,July,0.94,3,No
yes,In-Person,2024-08-13 14:52:00,33.0,4.0,yes,Arabic,Female,Active,Summer,August,0.94,3,No
yes,In-Person,2024-09-23 03:00:00,33.0,4.0,yes,Arabic,Female,Active,Fall,September,0.94,3,No
yes,In-Person,2024-10-23 03:00:00,33.0,4.0,yes,Arabic,Female,Active,Fall,October,0.94,3,No
no,In-Person,2024-11-23 04:00:00,33.0,4.0,yes,Arabic,Female,Active,Fall,November,0.94,3,No
yes,In-Person,2023-11-27 16:43:00,33.0,5.0,yes,"Somali , Arabic",Male,Active,Fall,November,6.2,3,No
yes,In-Person,2023-11-27 16:51:00,39.0,7.0,yes,Arabic,Female,Active,Fall,November,9.09,2,No
yes,In-Person,2023-12-27 15:19:00,39.0,7.0,yes,Arabic,Female,Active,Winter,December,9.09,2,No
yes,In-Person,2023-11-27 16:53:00,30.0,2.0,yes,"Dari , English",Female,Active,Fall,November,6.42,1,No
yes,In-Person,2023-12-27 15:15:00,30.0,2.0,yes,"Dari , English",Female,Active,Winter,December,6.42,1,No
yes,In-Person,2024-01-25 16:35:00,30.0,2.0,yes,"Dari , English",Female,Active,Winter,January,6.42,1,No
yes,In-Person,2024-02-25 04:00:00,30.0,2.0,yes,"Dari , English",Female,Active,Winter,Febuary,6.42,1,No
yes,In-Person,2024-03-25 03:00:00,30.0,2.0,yes,"Dari , English",Female,Active,Spring,March,6.42,1,No
yes,In-Person,2024-04-25 14:19:00,30.0,2.0,yes,"Dari , English",Female,Active,Spring,April,6.42,1,No
yes,In-Person,2024-05-30 17:49:00,30.0,2.0,yes,"Dari , English",Female,Active,Spring,May,6.42,1,No
yes,In-Person,2024-06-26 15:49:00,30.0,2.0,yes,"Dari , English",Female,Active,Summer,June,6.42,1,No
yes,In-Person,2024-07-25 16:11:00,30.0,2.0,yes,"Dari , English",Female,Active,Summer,July,6.42,1,No
yes,In-Person,2024-08-26 03:00:00,30.0,2.0,yes,"Dari , English",Female,Active,Summer,August,6.42,1,No
yes,In-Person,2024-09-26 03:00:00,30.0,2.0,yes,"Dari , English",Female,Active,Fall,September,6.42,1,No
yes,In-Person,2024-10-26 03:00:00,30.0,2.0,yes,"Dari , English",Female,Active,Fall,October,6.42,1,No
yes,In-Person,2024-11-26 04:00:00,30.0,2.0,yes,"Dari , English",Female,Active,Fall,November,6.42,1,No
yes,In-Person,2023-11-27 16:57:00,33.0,5.0,yes,Arabic,Female,Active,Fall,November,4.95,2,No
yes,In-Person,2023-12-27 18:50:00,33.0,5.0,yes,Arabic,Female,Active,Winter,December,4.95,2,No
yes,In-Person,2024-02-29 16:54:00,33.0,5.0,yes,Arabic,Female,Active,Winter,Febuary,4.95,2,No
yes,In-Person,2023-11-27 16:58:00,49.0,5.0,yes,Arabic,Male,Active,Fall,November,9.08,1,No
yes,In-Person,2023-12-27 04:00:00,49.0,5.0,yes,Arabic,Male,Active,Winter,December,9.08,1,No
yes,In-Person,2023-11-27 17:03:00,48.0,4.0,yes,"Somali , English",Female,Active,Fall,November,10.88,1,No
yes,In-Person,2023-12-27 04:00:00,48.0,4.0,yes,"Somali , English",Female,Active,Winter,December,10.88,1,No
yes,In-Person,2023-11-27 17:06:00,52.0,3.0,yes,Somali,Female,Active,Fall,November,10.88,1,No
no,In-Person,2023-12-27 04:00:00,52.0,3.0,yes,Somali,Female,Active,Winter,December,10.88,1,No
yes,In-Person,2023-11-27 17:11:00,71.0,1.0,yes,"Arabic , English",Male,Active,Fall,November,7.98,1,No
yes,In-Person,2024-01-02 17:00:00,71.0,1.0,yes,"Arabic , English",Male,Active,Winter,January,7.98,1,No
yes,In-Person,2023-11-27 17:15:00,44.0,6.0,yes,Arabic,Male,Active,Fall,November,7.53,1,No
yes,In-Person,2023-12-27 17:20:00,44.0,6.0,yes,Arabic,Male,Active,Winter,December,7.53,1,No
yes,In-Person,2024-01-31 16:49:00,44.0,6.0,yes,Arabic,Male,Active,Winter,January,7.53,1,No
yes,In-Person,2024-03-25 18:07:00,44.0,6.0,yes,Arabic,Male,Active,Spring,March,7.53,1,No
yes,In-Person,2024-04-27 03:00:00,44.0,6.0,yes,Arabic,Male,Active,Spring,April,7.53,1,No
yes,In-Person,2024-05-01 15:40:00,44.0,6.0,yes,Arabic,Male,Active,Spring,May,7.53,1,No
yes,In-Person,2024-06-03 14:55:00,44.0,6.0,yes,Arabic,Male,Active,Summer,June,7.53,1,No
yes,In-Person,2024-07-03 15:55:00,44.0,6.0,yes,Arabic,Male,Active,Summer,July,7.53,1,No
yes,In-Person,2024-08-08 14:08:00,44.0,6.0,yes,Arabic,Male,Active,Summer,August,7.53,1,No
yes,In-Person,2024-09-09 03:00:00,44.0,6.0,yes,Arabic,Male,Active,Fall,September,7.53,1,No
yes,In-Person,2024-10-10 03:00:00,44.0,6.0,yes,Arabic,Male,Active,Fall,October,7.53,1,No
yes,In-Person,2024-11-09 04:00:00,44.0,6.0,yes,Arabic,Male,Active,Fall,November,7.53,1,No
yes,In-Person,2023-11-27 17:17:00,58.0,4.0,yes,"Arabic , English",Male,Active,Fall,November,8.15,1,No
yes,In-Person,2023-11-27 17:28:00,38.0,4.0,yes,Persian,Male,Active,Fall,November,8.45,2,No
no,In-Person,2023-12-27 04:00:00,38.0,4.0,yes,Persian,Male,Active,Winter,December,8.45,2,No
yes,In-Person,2024-02-07 18:05:00,38.0,4.0,yes,Persian,Male,Active,Winter,Febuary,8.45,2,No
yes,In-Person,2024-02-27 04:00:00,38.0,4.0,yes,Persian,Male,Active,Winter,Febuary,8.45,2,No
no,In-Person,2024-03-27 03:00:00,38.0,4.0,yes,Persian,Male,Active,Spring,March,8.45,2,No
yes,In-Person,2024-04-27 03:00:00,38.0,4.0,yes,Persian,Male,Active,Spring,April,8.45,2,No
yes,In-Person,2024-05-21 16:16:00,38.0,4.0,yes,Persian,Male,Active,Spring,May,8.45,2,No
yes,In-Person,2024-06-25 14:11:00,38.0,4.0,yes,Persian,Male,Active,Summer,June,8.45,2,No
yes,In-Person,2024-07-25 17:31:00,38.0,4.0,yes,Persian,Male,Active,Summer,July,8.45,2,No
yes,In-Person,2024-08-27 03:00:00,38.0,4.0,yes,Persian,Male,Active,Summer,August,8.45,2,No
yes,In-Person,2024-09-27 03:00:00,38.0,4.0,yes,Persian,Male,Active,Fall,September,8.45,2,No
no,In-Person,2024-10-27 03:00:00,38.0,4.0,yes,Persian,Male,Active,Fall,October,8.45,2,No
yes,In-Person,2024-11-27 04:00:00,38.0,4.0,yes,Persian,Male,Active,Fall,November,8.45,2,No
yes,In-Person,2023-11-27 17:30:00,64.0,1.0,yes,Dari,Male,Active,Fall,November,8.45,2,No
yes,In-Person,2023-12-27 04:00:00,64.0,1.0,yes,Dari,Male,Active,Winter,December,8.45,2,No
yes,In-Person,2024-02-07 18:01:00,64.0,1.0,yes,Dari,Male,Active,Winter,Febuary,8.45,2,No
yes,In-Person,2024-03-11 18:02:00,64.0,1.0,yes,Dari,Male,Active,Spring,March,8.45,2,No
yes,In-Person,2024-04-08 03:00:00,64.0,1.0,yes,Dari,Male,Active,Spring,April,8.45,2,No
yes,In-Person,2024-05-21 16:17:00,64.0,1.0,yes,Dari,Male,Active,Spring,May,8.45,2,No
yes,In-Person,2024-06-25 14:09:00,64.0,1.0,yes,Dari,Male,Active,Summer,June,8.45,2,No
yes,In-Person,2024-07-25 17:34:00,64.0,1.0,yes,Dari,Male,Active,Summer,July,8.45,2,No
yes,In-Person,2024-08-08 03:00:00,64.0,1.0,yes,Dari,Male,Active,Summer,August,8.45,2,No
yes,In-Person,2024-09-08 03:00:00,64.0,1.0,yes,Dari,Male,Active,Fall,September,8.45,2,No
yes,In-Person,2024-10-09 03:00:00,64.0,1.0,yes,Dari,Male,Active,Fall,October,8.45,2,No
no,In-Person,2024-11-08 04:00:00,64.0,1.0,yes,Dari,Male,Active,Fall,November,8.45,2,No
no,In-Person,2024-12-09 04:00:00,64.0,1.0,yes,Dari,Male,Active,Winter,December,8.45,2,No
yes,In-Person,2023-11-27 17:31:00,38.0,4.0,yes,Pashto,Female,Active,Fall,November,7.7,1,No
yes,In-Person,2023-11-27 17:33:00,37.0,4.0,yes,Dari,Female,Active,Fall,November,7.7,1,No
no,In-Person,2023-12-27 04:00:00,37.0,4.0,yes,Dari,Female,Active,Winter,December,7.7,1,No
yes,In-Person,2023-11-27 19:29:00,36.0,3.0,yes,"Somali , English",Female,Active,Fall,November,0.52,1,No
yes,In-Person,2023-11-27 19:29:00,33.0,6.0,yes,"Somali , English",Female,Active,Fall,November,8.22,1,No
yes,In-Person,2023-11-27 19:30:00,55.0,6.0,yes,"Somali , English",Male,Active,Fall,November,7.81,1,No
yes,In-Person,2023-11-27 19:30:00,43.0,1.0,yes,"Arabic , English",Male,Active,Fall,November,0.74,3,No
yes,In-Person,2023-11-27 19:30:00,46.0,5.0,yes,"Dari , English",Male,Active,Fall,November,6.13,1,No
yes,In-Person,2023-11-27 19:30:00,30.0,1.0,yes,Somali,Female,Active,Fall,November,5.21,1,No
yes,In-Person,2023-11-27 19:30:00,38.0,4.0,yes,"Somali , English",Female,Pending,Fall,November,5.21,1,No
yes,In-Person,2023-11-27 19:31:00,33.0,2.0,yes,"Arabic , English",Male,Active,Fall,November,10.52,1,No
yes,In-Person,2023-11-27 19:31:00,36.0,7.0,yes,Somali,Male,Active,Fall,November,7.09,2,No
yes,In-Person,2023-11-27 19:31:00,38.0,4.0,yes,"Somali , English",Female,Active,Fall,November,0.52,1,No
yes,In-Person,2023-11-27 19:31:00,34.0,3.0,yes,"Somali , English",Female,Active,Fall,November,0.52,2,No
yes,In-Person,2023-11-27 18:15:00,37.0,4.0,yes,"Persian , English",Male,Active,Fall,November,7.04,1,No
yes,In-Person,2023-12-27 15:48:00,37.0,4.0,yes,"Persian , English",Male,Active,Winter,December,7.04,1,No
yes,In-Person,2023-11-27 18:16:00,67.0,3.0,yes,"Persian , English",Male,Active,Fall,November,6.2,1,No
yes,In-Person,2023-12-27 04:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Winter,December,6.2,1,No
no,In-Person,2024-01-27 04:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Winter,January,6.2,1,No
no,In-Person,2024-02-27 04:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Winter,Febuary,6.2,1,No
no,In-Person,2024-03-27 03:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Spring,March,6.2,1,No
yes,In-Person,2024-04-02 16:42:00,67.0,3.0,yes,"Persian , English",Male,Active,Spring,April,6.2,1,No
yes,In-Person,2024-05-27 03:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Spring,May,6.2,1,No
yes,In-Person,2024-06-27 03:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Summer,June,6.2,1,No
yes,In-Person,2024-07-27 03:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Summer,July,6.2,1,No
yes,In-Person,2024-08-27 03:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Summer,August,6.2,1,No
yes,In-Person,2024-09-27 03:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Fall,September,6.2,1,No
yes,In-Person,2024-10-27 03:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Fall,October,6.2,1,No
yes,In-Person,2024-11-27 04:00:00,67.0,3.0,yes,"Persian , English",Male,Active,Fall,November,6.2,1,No
yes,In-Person,2023-11-27 18:17:00,45.0,3.0,yes,"Arabic , English",Female,Active,Fall,November,6.2,1,No
yes,In-Person,2023-12-27 04:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Winter,December,6.2,1,No
yes,In-Person,2024-01-27 04:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Winter,January,6.2,1,No
yes,In-Person,2024-02-21 18:41:00,45.0,3.0,yes,"Arabic , English",Female,Active,Winter,Febuary,6.2,1,No
yes,In-Person,2024-03-21 17:24:00,45.0,3.0,yes,"Arabic , English",Female,Active,Spring,March,6.2,1,No
yes,In-Person,2024-04-22 03:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Spring,April,6.2,1,No
yes,In-Person,2024-05-06 15:42:00,45.0,3.0,yes,"Arabic , English",Female,Active,Spring,May,6.2,1,No
no,In-Person,2024-06-22 03:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Summer,June,6.2,1,No
yes,In-Person,2024-07-22 03:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Summer,July,6.2,1,No
yes,In-Person,2024-08-22 03:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Summer,August,6.2,1,No
no,In-Person,2024-09-22 03:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Fall,September,6.2,1,No
yes,In-Person,2024-10-22 03:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Fall,October,6.2,1,No
no,In-Person,2024-11-22 04:00:00,45.0,3.0,yes,"Arabic , English",Female,Active,Fall,November,6.2,1,No
yes,In-Person,2023-11-27 18:19:00,55.0,1.0,yes,"Somali , English",Female,Active,Fall,November,7.0,2,No
yes,In-Person,2024-01-02 16:59:00,55.0,1.0,yes,"Somali , English",Female,Active,Winter,January,7.0,2,No
yes,In-Person,2023-11-27 18:29:00,36.0,7.0,yes,Arabic,Male,Active,Fall,November,4.84,2,No
yes,In-Person,2023-11-27 18:32:00,54.0,2.0,yes,"Arabic , English",Male,Active,Fall,November,11.93,1,No
yes,In-Person,2023-12-28 16:35:00,54.0,2.0,yes,"Arabic , English",Male,Active,Winter,December,11.93,1,No
yes,In-Person,2024-01-25 17:38:00,54.0,2.0,yes,"Arabic , English",Male,Active,Winter,January,11.93,1,No
yes,In-Person,2024-02-26 17:44:00,54.0,2.0,yes,"Arabic , English",Male,Active,Winter,Febuary,11.93,1,No
yes,In-Person,2024-03-26 15:45:00,54.0,2.0,yes,"Arabic , English",Male,Active,Spring,March,11.93,1,No
yes,In-Person,2024-04-25 14:14:00,54.0,2.0,yes,"Arabic , English",Male,Active,Spring,April,11.93,1,No
yes,In-Person,2024-05-27 14:58:00,54.0,2.0,yes,"Arabic , English",Male,Active,Spring,May,11.93,1,No
yes,In-Person,2024-06-24 14:15:00,54.0,2.0,yes,"Arabic , English",Male,Active,Summer,June,11.93,1,No
yes,In-Person,2024-07-24 14:42:00,54.0,2.0,yes,"Arabic , English",Male,Active,Summer,July,11.93,1,No
yes,In-Person,2024-08-26 14:29:00,54.0,2.0,yes,"Arabic , English",Male,Active,Summer,August,11.93,1,No
yes,In-Person,2024-09-26 03:00:00,54.0,2.0,yes,"Arabic , English",Male,Active,Fall,September,11.93,1,No
yes,In-Person,2024-10-26 03:00:00,54.0,2.0,yes,"Arabic , English",Male,Active,Fall,October,11.93,1,No
yes,In-Person,2024-11-26 04:00:00,54.0,2.0,yes,"Arabic , English",Male,Active,Fall,November,11.93,1,No
yes,In-Person,2023-11-27 18:33:00,54.0,1.0,yes,Somali,Female,Active,Fall,November,0.52,1,No
yes,In-Person,2023-12-27 17:34:00,54.0,1.0,yes,Somali,Female,Active,Winter,December,0.52,1,No
no,In-Person,2024-01-27 04:00:00,54.0,1.0,yes,Somali,Female,Active,Winter,January,0.52,1,No
yes,In-Person,2024-02-27 16:58:00,54.0,1.0,yes,Somali,Female,Active,Winter,Febuary,0.52,1,No
yes,In-Person,2024-03-27 03:00:00,54.0,1.0,yes,Somali,Female,Active,Spring,March,0.52,1,No
yes,In-Person,2024-04-03 16:14:00,54.0,1.0,yes,Somali,Female,Active,Spring,April,0.52,1,No
yes,In-Person,2024-05-02 14:14:00,54.0,1.0,yes,Somali,Female,Active,Spring,May,0.52,1,No
yes,In-Person,2024-06-04 15:49:00,54.0,1.0,yes,Somali,Female,Active,Summer,June,0.52,1,No
yes,In-Person,2024-07-04 17:03:00,54.0,1.0,yes,Somali,Female,Active,Summer,July,0.52,1,No
yes,In-Person,2024-08-01 15:40:00,54.0,1.0,yes,Somali,Female,Active,Summer,August,0.52,1,No
yes,In-Person,2024-09-02 03:00:00,54.0,1.0,yes,Somali,Female,Active,Fall,September,0.52,1,No
yes,In-Person,2024-10-02 03:00:00,54.0,1.0,yes,Somali,Female,Active,Fall,October,0.52,1,No
yes,In-Person,2024-11-02 03:00:00,54.0,1.0,yes,Somali,Female,Active,Fall,November,0.52,1,No
yes,In-Person,2023-11-27 18:35:00,43.0,1.0,yes,"Somali , English",Female,Active,Fall,November,0.52,1,No
yes,In-Person,2023-12-27 17:35:00,43.0,1.0,yes,"Somali , English",Female,Active,Winter,December,0.52,1,No
yes,In-Person,2024-02-27 16:58:00,43.0,1.0,yes,"Somali , English",Female,Active,Winter,Febuary,0.52,1,No
no,In-Person,2024-03-27 03:00:00,43.0,1.0,yes,"Somali , English",Female,Active,Spring,March,0.52,1,No
no,In-Person,2024-04-27 03:00:00,43.0,1.0,yes,"Somali , English",Female,Active,Spring,April,0.52,1,No
yes,In-Person,2024-05-02 14:10:00,43.0,1.0,yes,"Somali , English",Female,Active,Spring,May,0.52,1,No
yes,In-Person,2024-06-04 15:47:00,43.0,1.0,yes,"Somali , English",Female,Active,Summer,June,0.52,1,No
yes,In-Person,2024-07-04 17:01:00,43.0,1.0,yes,"Somali , English",Female,Active,Summer,July,0.52,1,No
yes,In-Person,2024-08-01 15:39:00,43.0,1.0,yes,"Somali , English",Female,Active,Summer,August,0.52,1,No
yes,In-Person,2024-09-03 03:00:00,43.0,1.0,yes,"Somali , English",Female,Active,Fall,September,0.52,1,No
yes,In-Person,2024-10-03 03:00:00,43.0,1.0,yes,"Somali , English",Female,Active,Fall,October,0.52,1,No
yes,In-Person,2024-11-03 03:00:00,43.0,1.0,yes,"Somali , English",Female,Active,Fall,November,0.52,1,No
yes,In-Person,2023-11-27 18:37:00,30.0,4.0,yes,Arabic,Male,Active,Fall,November,8.16,1,No
yes,In-Person,2023-12-27 04:00:00,30.0,4.0,yes,Arabic,Male,Active,Winter,December,8.16,1,No
yes,In-Person,2024-01-27 04:00:00,30.0,4.0,yes,Arabic,Male,Active,Winter,January,8.16,1,No
yes,In-Person,2024-02-27 04:00:00,30.0,4.0,yes,Arabic,Male,Active,Winter,Febuary,8.16,1,No
yes,In-Person,2024-03-27 03:00:00,30.0,4.0,yes,Arabic,Male,Active,Spring,March,8.16,1,No
yes,In-Person,2024-04-22 17:06:00,30.0,4.0,yes,Arabic,Male,Active,Spring,April,8.16,1,No
yes,In-Person,2024-05-29 16:45:00,30.0,4.0,yes,Arabic,Male,Active,Spring,May,8.16,1,No
yes,In-Person,2024-06-29 03:00:00,30.0,4.0,yes,Arabic,Male,Active,Summer,June,8.16,1,No
yes,In-Person,2024-07-29 03:00:00,30.0,4.0,yes,Arabic,Male,Active,Summer,July,8.16,1,No
yes,In-Person,2024-08-21 17:50:00,30.0,4.0,yes,Arabic,Male,Active,Summer,August,8.16,1,No
yes,In-Person,2024-09-22 03:00:00,30.0,4.0,yes,Arabic,Male,Active,Fall,September,8.16,1,No
